Sentiment,Word,Frequency
neutral,united,1476
neutral,flight,1425
neutral,americanair,1139
neutral,usairways,1132
neutral,southwestair,936
neutral,jetblue,907
neutral,get,543
neutral,cancelled,471
neutral,help,405
neutral,hold,311
negative,flight,1231
negative,united,1199
negative,usairways,950
negative,americanair,774
negative,southwestair,507
negative,jetblue,434
negative,service,406
negative,late,344
negative,get,340
negative,cancelled,313
positive,united,1489
positive,flight,1283
positive,jetblue,1054
positive,americanair,1051
positive,southwestair,1018
positive,usairways,971
positive,thanks,960
positive,get,457
positive,service,347
positive,time,329
